date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:52	17864/17864	---MC-	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2017:23:04%20GMT	https://oneopen7.com/cards/sords.php?id=232	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/sords8517.html	(from )
19:27:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:04%20GMT	https://oneopen7.com/robots.txt		(from )
19:27:53	1109/1109	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Dec%202022%2010:25:48%20GMT	https://oneopen7.com/cards/css/default.css	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/default.css	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:54	3167/3167	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Dec%202022%2010:25:49%20GMT	https://oneopen7.com/cards/css/slick-theme.css	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/slick-theme.css	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:54	33236/33236	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Dec%202022%2010:25:48%20GMT	https://oneopen7.com/cards/css/main.css	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/main.css	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:54	501300/501300	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Dec%202022%2010:25:48%20GMT	https://oneopen7.com/cards/css/themes.css?v=1	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/themes3860.css	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:54	1185/1185	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Dec%202022%2010:25:48%20GMT	https://oneopen7.com/cards/css/main2.css	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/main2.css	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:54	166762/166762	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Dec%202022%2010:25:38%20GMT	https://oneopen7.com/cards/uploads/2021-10-17-12-26-31474bg.jpg	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/uploads/2021-10-17-12-26-31474bg.jpg	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:55	79982/79982	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Dec%202022%2010:25:47%20GMT	https://oneopen7.com/cards/uploads/2021-10-08-14-56-017293.png	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/uploads/2021-10-08-14-56-017293.png	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:56	10119/10119	---M--	200	added ('OK')	image/png	etag:ed3e3eb8bedf745bb10c7fd96b0555f0	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Breezeicons-actions-22-upload-media.svg/800px-Breezeicons-actions-22-upload-media.svg.png	C:/Users/adelawad/Desktop/myNewWebsite/upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Breezeicons-actions-22-upload-media.svg/800px-Breezeicons-actions-22-upload-media.svg.png	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:56	1578/1578	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Dec%202022%2010:25:49%20GMT	https://oneopen7.com/cards/css/icon-instagram.svg	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/icon-instagram.svg	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:56	681/681	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Dec%202022%2010:25:49%20GMT	https://oneopen7.com/cards/css/icon-twitter.svg	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/icon-twitter.svg	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:56	420/420	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Dec%202022%2010:25:49%20GMT	https://oneopen7.com/cards/css/icon-facebook.svg	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/icon-facebook.svg	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:57	84245/84245	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	C:/Users/adelawad/Desktop/myNewWebsite/ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js	(from https://oneopen7.com/cards/sords.php?id=232)
19:27:57	50420/50420	---M--	200	added ('OK')	font/woff2	date:Sat,%2003%20Dec%202022%2010:25:48%20GMT	https://oneopen7.com/cards/css/DINNextLTArabic-Regular.woff2?5ca1d570c79b05d84481958cce526f7d	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTArabic-Regulard912.woff2	(from https://oneopen7.com/cards/css/default.css)
19:27:58	65072/65072	---M--	200	added ('OK')	font/woff	date:Sat,%2003%20Dec%202022%2010:25:49%20GMT	https://oneopen7.com/cards/css/DINNextLTArabic-Regular.woff?508654c1c6b6662cd7f7feb504b126f0	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTArabic-Regularf9ec.woff	(from https://oneopen7.com/cards/css/default.css)
19:27:58	162978/162978	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Dec%202022%2010:25:48%20GMT	https://oneopen7.com/cards/css/DINNextLTArabic-Regular.ttf?61b1e04ff205cd324350749648fe16fc	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTArabic-Regulardc21.ttf	(from https://oneopen7.com/cards/css/default.css)
19:27:58	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:10%20GMT	https://oneopen7.com/cards/css/DINNextLTW23-Medium.woff?f9bf9a5f50720c8c4dca70b7110e4a2b	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTW23-Mediumd25c.woff	(from https://oneopen7.com/cards/css/default.css)
19:27:58	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:10%20GMT	https://oneopen7.com/cards/css/DINNextLTW23-Medium.eot?8a2090335a1bf5a2648af29a993f6f90	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTW23-Mediume58c.eot	(from https://oneopen7.com/cards/css/default.css)
19:27:58	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:10%20GMT	https://oneopen7.com/cards/css/DINNextLTW23-Medium.ttf?22c9874c24b995a0c881e7cc2445cebf	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTW23-Medium8226.ttf	(from https://oneopen7.com/cards/css/default.css)
19:27:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:10%20GMT	https://oneopen7.com/cards/css/DINNextLTArabic-Bold.woff2?a90e040b5e058497a80b27ed66609eba	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTArabic-Bolda9a6.woff2	(from https://oneopen7.com/cards/css/default.css)
19:27:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:11%20GMT	https://oneopen7.com/cards/css/DINNextLTArabic-Bold.woff?83737cb13ef0f530c0d18e15a0aac1fb	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTArabic-Bold3ede.woff	(from https://oneopen7.com/cards/css/default.css)
19:27:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:11%20GMT	https://oneopen7.com/cards/css/DINNextLTArabic-Bold.ttf?24421421e9210a40c31dda3d7d47995a	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/css/DINNextLTArabic-Bold0af3.ttf	(from https://oneopen7.com/cards/css/default.css)
19:27:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:11%20GMT	https://oneopen7.com/cards/fonts/glyphicons-halflings-regular.eot	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/fonts/glyphicons-halflings-regular.eot	(from https://oneopen7.com/cards/css/themes.css?v=1)
19:28:00	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:11%20GMT	https://oneopen7.com/cards/fonts/glyphicons-halflings-regular.eot?	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/fonts/glyphicons-halflings-regulard41d.eot	(from https://oneopen7.com/cards/css/themes.css?v=1)
19:28:00	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:12%20GMT	https://oneopen7.com/cards/fonts/glyphicons-halflings-regular.woff2	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/fonts/glyphicons-halflings-regular.woff2	(from https://oneopen7.com/cards/css/themes.css?v=1)
19:28:00	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Feb%202023%2017:23:12%20GMT	https://oneopen7.com/cards/fonts/glyphicons-halflings-regular.woff	C:/Users/adelawad/Desktop/myNewWebsite/oneopen7.com/cards/fonts/glyphicons-halflings-regular.woff	(from https://oneopen7.com/cards/css/themes.css?v=1)
